                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7765,                 10.572,                 2.1833,                0.01214,                0.04063,                0.00256,                0.00074,                 2.4606,                  6.361,                 2.7631,                  4e-05,                  4e-05,                  4e-05
                      2,                 2.6008,                  9.004,                 2.2326,                0.01495,                   0.05,                0.00274,                0.00077,                 2.4614,                 6.3114,                 2.7403,             9.9802e-05,             9.9802e-05,             9.9802e-05
                      3,                 2.3833,                 8.9314,                 2.0292,                0.00631,                 0.0375,                0.00282,                0.00086,                 2.4771,                 18.262,                 2.7257,             0.00015937,             0.00015937,             0.00015937
                      4,                 2.1495,                 6.2203,                 1.8678,                0.06491,                0.23125,                0.03478,                0.00962,                 2.3188,                 9.2139,                 2.4983,             0.00021869,             0.00021869,             0.00021869
                      5,                 1.4486,                 3.5611,                 1.3475,                0.21202,                 0.1625,                0.09618,                0.03851,                 2.2469,                 10.096,                 2.2026,             0.00027778,             0.00027778,             0.00027778
                      6,                 1.3561,                  2.758,                 1.3193,                0.26564,                0.14688,                0.09848,                0.03977,                 2.1781,                 15.964,                 2.0789,             0.00033663,             0.00033663,             0.00033663
                      7,                 1.4561,                 2.3413,                 1.3732,                0.32969,                0.22812,                 0.1588,                0.07006,                 2.0848,                  8.776,                 1.9795,             0.00039525,             0.00039525,             0.00039525
                      8,                 1.4245,                 2.2384,                 1.3648,                0.29552,                0.18438,                0.13881,                0.06419,                 2.0796,                 8.7365,                 2.0091,             0.00045362,             0.00045362,             0.00045362
                      9,                 1.4019,                 1.8134,                 1.2939,                0.39812,                0.28437,                0.24022,                0.09949,                 2.0646,                 6.5058,                 2.0023,             0.00051176,             0.00051176,             0.00051176
                     10,                 1.2912,                 1.7904,                 1.2584,                0.26718,                0.19062,                0.11925,                0.03867,                 2.2762,                 10.779,                 2.1242,             0.00056966,             0.00056966,             0.00056966
                     11,                 1.3395,                 2.1349,                 1.3232,                 0.2581,                0.26875,                0.15327,                0.04487,                 2.2991,                  5.244,                 2.1306,             0.00062733,             0.00062733,             0.00062733
                     12,                 1.2459,                 1.6207,                  1.229,                0.35821,                0.24375,                0.17878,                  0.047,                 2.4234,                 4.6924,                 2.2526,             0.00068475,             0.00068475,             0.00068475
                     13,                 1.3695,                 1.5292,                 1.3388,                0.27993,                   0.25,                0.17702,                0.06713,                 2.3018,                 3.6322,                 2.1713,             0.00074194,             0.00074194,             0.00074194
                     14,                 1.3854,                 1.6811,                 1.3824,                0.28548,                0.27813,                 0.1762,                 0.0678,                 2.3179,                 4.3783,                 2.2569,             0.00079889,             0.00079889,             0.00079889
                     15,                 1.3037,                 1.3237,                 1.2381,                0.42894,                0.17813,                0.15907,                 0.0884,                 2.2499,                 10.652,                 2.4311,             0.00085561,             0.00085561,             0.00085561
                     16,                 1.2062,                 1.3616,                 1.3797,                0.39175,                 0.1125,                0.07659,                0.03414,                 2.3507,                 19.608,                 2.7662,             0.00091208,             0.00091208,             0.00091208
                     17,                 1.1808,                 1.2716,                 1.2462,                0.22342,                  0.175,                0.10074,                0.04629,                 2.4025,                 25.986,                 2.4134,             0.00096832,             0.00096832,             0.00096832
                     18,                 1.2927,                 1.3996,                 1.3161,                0.21011,                0.18438,                0.10031,                0.03959,                 2.4427,                 14.625,                 2.4075,              0.0010243,              0.0010243,              0.0010243
                     19,                 1.3452,                 1.4257,                 1.3466,                0.08005,                0.20938,                0.04323,                0.01362,                 2.6358,                 9.3621,                  2.543,              0.0010801,              0.0010801,              0.0010801
                     20,                 1.3419,                 1.3175,                  1.317,                0.10141,                  0.175,                0.05697,                0.02287,                 2.7005,                  6.202,                 2.8626,              0.0011356,              0.0011356,              0.0011356
                     21,                 1.3233,                 1.2719,                  1.249,                0.21178,                0.19687,                0.09502,                0.03617,                 2.6405,                 6.0472,                 2.9287,              0.0011909,              0.0011909,              0.0011909
                     22,                 1.2735,                 1.2116,                 1.3747,                0.03971,                0.07812,                0.00959,                0.00425,                 2.9009,                 5.6238,                   3.42,              0.0012459,              0.0012459,              0.0012459
                     23,                 1.2204,                 1.4064,                 1.2636,                0.05195,                  0.175,                0.01873,                0.00702,                 2.6767,                 9.7099,                 3.6044,              0.0013008,              0.0013008,              0.0013008
                     24,                 1.1963,                 1.2454,                 1.2612,                0.02235,                 0.2125,                0.00879,                0.00341,                  2.679,                 41.909,                 4.0797,              0.0013553,              0.0013553,              0.0013553
                     25,                 1.3388,                 1.3977,                 1.3782,                0.03014,                    0.1,                0.00641,                0.00216,                 2.8153,                 9.1623,                 3.5661,              0.0014097,              0.0014097,              0.0014097
                     26,                 1.2468,                 1.2646,                  1.324,                0.06247,                0.11875,                0.01411,                0.00516,                 2.7617,                   8.89,                 3.9801,              0.0014638,              0.0014638,              0.0014638
                     27,                 1.1769,                 1.1748,                 1.2411,                0.01037,                 0.0625,                0.00309,                0.00087,                 3.1808,                 23.863,                 5.7177,              0.0015176,              0.0015176,              0.0015176
                     28,                 1.2543,                 1.1349,                   1.21,                0.01082,                 0.0625,                0.00332,                0.00096,                 3.2022,                 18.727,                 7.9823,              0.0015713,              0.0015713,              0.0015713
                     29,                 1.2258,                 1.1207,                 1.2402,                0.01082,                 0.0625,                0.00332,                0.00096,                 3.2022,                 18.727,                 7.9823,              0.0016246,              0.0016246,              0.0016246
                     30,                   1.21,                 1.1556,                 1.2323,                0.00667,                   0.05,                0.00248,                0.00083,                 3.1865,                 19.675,                 8.5461,              0.0016778,              0.0016778,              0.0016778
                     31,                  1.382,                 1.2384,                 1.3152,                0.02057,                0.04375,                0.01052,                0.00603,                 3.0433,                 18.734,                 7.4106,              0.0017307,              0.0017307,              0.0017307
                     32,                 1.2971,                 1.1568,                 1.3664,                0.02298,                0.05937,                0.00771,                0.00292,                 3.1057,                 16.102,                 6.3169,              0.0017834,              0.0017834,              0.0017834
                     33,                 1.4477,                 1.1219,                 1.4466,                0.02298,                0.05937,                0.00771,                0.00292,                 3.1057,                 16.102,                 6.3169,              0.0018358,              0.0018358,              0.0018358
                     34,                 1.4325,                 1.3029,                  1.459,                  0.027,                0.02813,                0.00978,                0.00221,                 3.0857,                 14.596,                 7.1994,              0.0018693,              0.0018693,              0.0018693
                     35,                 1.4621,                 1.2706,                 1.3427,                0.01394,                0.04063,                0.00576,                0.00208,                 2.9955,                 18.063,                 6.9283,              0.0018693,              0.0018693,              0.0018693
                     36,                 1.4598,                 1.4213,                 1.3098,                0.00818,                0.11563,                 0.0042,                0.00134,                 3.2028,                 33.268,                 9.0576,              0.0018654,              0.0018654,              0.0018654
                     37,                 1.3121,                 1.1688,                 1.3319,                0.00818,                0.11563,                 0.0042,                0.00134,                 3.2028,                 33.268,                 9.0576,              0.0018614,              0.0018614,              0.0018614
                     38,                 1.4219,                 1.2192,                 1.4073,                0.00889,                0.05312,                0.00254,                0.00088,                 3.4272,                 11.954,                 6.4317,              0.0018574,              0.0018574,              0.0018574
                     39,                 1.3423,                  1.159,                 1.3602,                0.00543,                0.08125,                0.00221,                0.00058,                  3.647,                 17.626,                 5.7951,              0.0018535,              0.0018535,              0.0018535
                     40,                  1.399,                 1.1418,                 1.4333,                0.02114,                0.05625,                 0.0047,                0.00119,                 3.6726,                 16.054,                 5.9089,              0.0018495,              0.0018495,              0.0018495
                     41,                  1.374,                 1.2284,                 1.3433,                0.02114,                0.05625,                 0.0047,                0.00119,                 3.6726,                 16.054,                 5.9089,              0.0018456,              0.0018456,              0.0018456
                     42,                 1.4532,                 1.4444,                 1.4522,                0.00644,                0.04063,                0.00156,                0.00039,                 3.8966,                 17.137,                  7.487,              0.0018416,              0.0018416,              0.0018416
                     43,                 1.3795,                 1.2961,                 1.3541,                0.01392,                 0.0375,                0.00173,                0.00038,                  4.041,                 10.382,                 8.6236,              0.0018376,              0.0018376,              0.0018376
                     44,                 1.5046,                 1.3139,                 1.4431,                0.01324,                0.10312,                 0.0035,                0.00086,                  3.988,                  14.97,                  12.63,              0.0018337,              0.0018337,              0.0018337
                     45,                 1.3554,                 1.2533,                 1.3961,                0.01324,                0.10312,                 0.0035,                0.00086,                  3.988,                  14.97,                  12.63,              0.0018297,              0.0018297,              0.0018297
                     46,                 1.3067,                 1.2398,                 1.3851,                0.07149,                0.07187,                0.02012,                0.00569,                 3.4876,                 7.6979,                 6.4263,              0.0018258,              0.0018258,              0.0018258
                     47,                 1.3382,                 1.1582,                 1.3856,                0.02086,                0.08438,                0.00782,                0.00339,                 2.8403,                 13.139,                 3.4746,              0.0018218,              0.0018218,              0.0018218
                     48,                 1.5433,                 1.3751,                 1.4927,                0.35879,                0.18125,                 0.1475,                0.06019,                 2.5159,                 7.8458,                 3.0715,              0.0018178,              0.0018178,              0.0018178
                     49,                 1.2586,                 1.0601,                 1.2329,                0.35879,                0.18125,                 0.1475,                0.06019,                 2.5159,                 7.8458,                 3.0715,              0.0018139,              0.0018139,              0.0018139
                     50,                 1.2943,                 1.2697,                 1.3576,                0.17015,                0.22187,                  0.088,                0.03501,                 2.5119,                 10.201,                 3.0353,              0.0018099,              0.0018099,              0.0018099
                     51,                  1.424,                 1.2903,                 1.5126,                0.11489,                  0.175,                0.04139,                0.01448,                  2.878,                 10.202,                 3.5534,               0.001806,               0.001806,               0.001806
                     52,                 1.3836,                 1.0943,                 1.4382,                0.26179,                0.28125,                0.14055,                0.05423,                 2.5906,                 5.2559,                 3.1238,               0.001802,               0.001802,               0.001802
                     53,                 1.2101,                 1.2165,                 1.3645,                0.26179,                0.28125,                0.14055,                0.05423,                 2.5906,                 5.2559,                 3.1238,               0.001798,               0.001798,               0.001798
                     54,                 1.3204,                  1.113,                  1.301,                0.54412,                0.29466,                 0.3137,                0.12193,                 2.4085,                 4.1756,                 2.8474,              0.0017941,              0.0017941,              0.0017941
                     55,                 1.3926,                 1.1767,                 1.3855,                0.36639,                0.30721,                0.22815,                0.08901,                 2.4975,                 5.9248,                 2.7554,              0.0017901,              0.0017901,              0.0017901
                     56,                 1.3796,                 1.1339,                 1.3644,                0.26425,                0.30312,                0.13859,                 0.0524,                  2.568,                 6.1391,                 2.7519,              0.0017862,              0.0017862,              0.0017862
                     57,                 1.3586,                 1.0884,                 1.2987,                0.26425,                0.30312,                0.13859,                 0.0524,                  2.568,                 6.1391,                 2.7519,              0.0017822,              0.0017822,              0.0017822
                     58,                 1.2066,                  1.089,                 1.2918,                0.30493,                   0.25,                0.16144,                0.05678,                 2.5808,                 5.0687,                 2.8396,              0.0017782,              0.0017782,              0.0017782
                     59,                 1.4265,                 1.1977,                 1.3699,                0.24295,                0.24063,                0.15446,                0.06736,                 2.5316,                 5.6765,                 2.9087,              0.0017743,              0.0017743,              0.0017743
                     60,                 1.2752,                0.96344,                 1.3875,                0.18439,                0.23438,                0.13162,                0.05265,                 2.6677,                 6.9309,                 2.8907,              0.0017703,              0.0017703,              0.0017703
                     61,                 1.1939,                 1.0593,                 1.2334,                0.18439,                0.23438,                0.13162,                0.05265,                 2.6677,                 6.9309,                 2.8907,              0.0017664,              0.0017664,              0.0017664
